employee_id,salary_id,salary,bonus,commission,deductions
1,101,50000,2000,500,1000
2,102,55000,2500,600,1200
3,103,60000,3000,700,1300
4,104,52000,2200,550,1100
5,105,48000,1800,450,900
6,106,51000,2300,580,1150
7,107,59000,2800,650,1250
8,108,63000,3200,750,1400
9,109,54000,2400,600,1200
10,110,58000,2700,680,1300
11,111,52000,2200,550,1100
12,112,51000,2300,580,1150
13,113,59000,2800,650,1250
14,114,60000,3000,700,1300
15,115,55000,2500,600,1200
16,116,48000,1800,450,900
17,117,50000,2000,500,1000
18,118,52000,2200,550,1100
19,119,51000,2300,580,1150
20,120,63000,3200,750,1400
21,121,59000,2800,650,1250
22,122,58000,2700,680,1300
23,123,60000,3000,700,1300
24,124,54000,2400,600,1200
25,125,52000,2200,550,1100
26,126,48000,1800,450,900
27,127,50000,2000,500,1000
28,128,51000,2300,580,1150
29,129,59000,2800,650,1250
30,130,63000,3200,750,1400
31,131,55000,2500,600,1200
32,132,60000,3000,700,1300
33,133,52000,2200,550,1100
34,134,51000,2300,580,1150
35,135,48000,1800,450,900
36,136,59000,2800,650,1250
37,137,60000,3000,700,1300
38,138,63000,3200,750,1400
39,139,54000,2400,600,1200
40,140,58000,2700,680,1300
41,141,52000,2200,550,1100
42,142,51000,2300,580,1150
43,143,59000,2800,650,1250
44,144,60000,3000,700,1300
45,145,55000,2500,600,1200
46,146,48000,1800,450,900
47,147,50000,2000,500,1000
48,148,52000,2200,550,1100
49,149,51000,2300,580,1150
50,150,63000,3200,750,1400
51,151,59000,2800,650,1250
52,152,58000,2700,680,1300
53,153,60000,3000,700,1300
54,154,54000,2400,600,1200
55,155,52000,2200,550,1100
56,156,48000,1800,450,900
57,157,50000,2000,500,1000
58,158,51000,2300,580,1150
59,159,59000,2800,650,1250
60,160,63000,3200,750,1400
61,161,55000,2500,600,1200
62,162,60000,3000,700,1300
63,163,52000,2200,550,1100
64,164,51000,2300,580,1150
65,165,48000,1800,450,900
66,166,59000,2800,650,1250
67,167,60000,3000,700,1300
68,168,54000,2400,600,1200
69,169,52000,2200,550,1100
70,170,48000,1800,450,900
71,171,50000,2000,500,1000
72,172,51000,2300,580,1150
73,173,59000,2800,650,1250
74,174,60000,3000,700,1300
75,175,55000,2500,600,1200
76,176,48000,1800,450,900
77,177,50000,2000,500,1000
78,178,52000,2200,550,1100
79,179,51000,2300,580,1150
80,180,63000,3200,750,1400
81,181,59000,2800,650,1250
82,182,58000,2700,680,1300
83,183,60000,3000,700,1300
84,184,54000,2400,600,1200
85,185,52000,2200,550,1100
86,186,48000,1800,450,900
87,187,50000,2000,500,1000
88,188,51000,2300,580,1150
89,189,59000,2800,650,1250
90,190,63000,3200,750,1400
91,191,55000,2500,600,1200
92,192,60000,3000,700,1300
93,193,52000,2200,550,1100
94,194,51000,2300,580,1150
95,195,48000,1800,450,900
96,196,59000,2800,650,1250
97,197,60000,3000,700,1300
98,198,63000,3200,750,1400
99,199,54000,2400,600,1200
100,200,58000,2700,680,1300
